Area,Perimeter,Ratio_AP,Ratio_Ch,Ratio_LW,Ratio_WL,e,Cv,circul,label
892156.7502,4139.919731,215.5009779,0.860257168,1.487212546,0.672398846,0.928058729,1.236421094,0.690133162,1
144469.8881,1613.633725,89.53078125,0.911151983,1.68469241,0.593580166,0.913823222,1.197598827,0.667507747,1
73131.17396,1171.482825,62.42615974,0.896633559,1.513761023,0.660606255,0.923226398,1.22202396,0.660625909,1
1789670.28,5335.190773,335.4463515,0.923461733,1.15826211,0.863362439,0.871811791,1.125015506,0.780648349,1
266179.0193,3742.860384,71.1164703,0.667490087,5.753812685,0.173797802,0.99263593,2.04650017,0.332283788,1
1130354.037,4301.75505,262.7657838,0.943195696,1.540501865,0.649139104,0.883844706,1.14138852,0.697976499,1
1049177.617,4373.230542,239.9090574,0.955517087,2.141730908,0.466912065,0.916613791,1.20440606,0.611930245,1
750800.845,4283.648683,175.27134,0.952541392,3.484592531,0.2869776,0.960933422,1.39458997,0.500243488,1
1540890.149,5642.510313,273.0859252,0.921166151,2.357814244,0.424121621,0.940768221,1.282276225,0.571609921,1
233158.4749,2002.544533,116.4311061,0.927687669,1.241522758,0.80546248,0.900825737,1.16990783,0.764888645,1
1377590.019,5840.402153,235.8724593,0.857144574,2.698316367,0.370601466,0.962123652,1.403711399,0.522279776,1
601992.2617,3049.744391,197.3910546,0.977774417,1.701911548,0.587574602,0.857674125,1.108825117,0.70223296,1
1386731.01,4779.071713,290.1674412,0.961828138,1.672878623,0.597772,0.886138735,1.144833955,0.665883881,1
17506896.75,19807.86973,883.8354142,0.908190354,2.654516731,0.376716405,0.951794471,1.335451911,0.497810001,1
2645028.073,6458.078287,409.5689081,0.960891158,1.545302128,0.647122645,0.867840864,1.120168177,0.737467466,1
2182066.325,5692.569388,383.3183534,0.97637778,1.507756574,0.663237035,0.833837691,1.087099829,0.698517042,1
177856.8991,2456.460854,72.40371804,0.797258561,3.208030719,0.311717713,0.981390134,1.643121043,0.37693479,1
179146.6722,1713.267652,104.564323,0.945710906,1.098927108,0.909978462,0.884168509,1.141868022,0.761817734,1
712898.1114,3561.580861,200.1633935,0.956632648,2.122540958,0.471133429,0.910506248,1.189937482,0.615878613,1
750767.0234,3921.892703,191.4297714,0.872679773,2.214531815,0.451562715,0.939443062,1.276845004,0.605999302,1
234741.6072,1968.799538,119.2308321,0.952936503,1.101191529,0.90810724,0.887097866,1.146308545,0.736338788,1
93826.72079,1294.260272,72.49447643,0.885682566,1.158766756,0.862986442,0.911390936,1.191937324,0.747769589,1
1489368.52,5231.705168,284.6812794,0.923309194,1.410397222,0.709020115,0.918538657,1.209308886,0.580073775,1
79037.03797,2004.426469,39.43124839,0.534592911,3.882306645,0.257578829,0.992087072,2.011267653,0.335460488,1
35852.41137,851.2775,42.11600961,0.933324086,2.619678197,0.381726275,0.937257745,1.268256326,0.576279549,1
6957.376873,563.8868241,12.33825047,0.574886787,3.766747654,0.265481018,0.990125715,1.907059531,0.361809773,1
53605.97917,960.8809175,55.78836898,0.909281965,1.634956846,0.611636938,0.901256827,1.170733431,0.680136983,1
254013.404,2269.593418,111.9202241,0.867136971,1.437184988,0.695804652,0.937794477,1.27032491,0.644648189,1
39625.15559,822.7468376,48.16202723,0.91853659,1.359213397,0.735719647,0.898710908,1.165938919,0.749794504,1
3370385.638,18205.83122,185.1267101,0.309201708,3.162426392,0.316212894,0.997940025,2.79747222,0.25901692,1
1006519.411,4136.150995,243.346873,0.942068576,1.793975002,0.557421368,0.89709907,1.163001769,0.665014439,1
846497.3324,4088.297226,207.0537648,0.848574014,1.334898441,0.749120659,0.933224433,1.25350114,0.698601404,1
351691.1025,2709.583999,129.7952389,0.895119411,2.086574388,0.479254421,0.942326624,1.28889339,0.605798857,1
1694479.616,12566.06864,134.8456438,0.370623527,5.042386607,0.198318788,0.997703431,2.723179827,0.26510347,1
440107.8502,3172.044259,138.74581,0.839966346,2.206726599,0.453159898,0.954103884,1.348822335,0.445312681,1
549486.9707,6360.243834,86.39401021,0.46191158,4.373784732,0.228634938,0.996297019,2.420416663,0.306333433,1
922956.0392,7267.906624,126.9906297,0.483002922,4.049239791,0.246959936,0.99380466,2.134095741,0.333513545,1
1561300.911,6708.913002,232.720399,0.702776237,2.522297115,0.396463999,0.973326402,1.514620817,0.517561052,1
2963455.46,7111.043021,416.7399144,0.957665221,1.165550592,0.857963615,0.898351201,1.165276993,0.699573571,1
750920.7461,4099.920051,183.1549729,0.796336404,1.687523219,0.592584439,0.95165411,1.334668481,0.611360192,1
1910045.078,6036.789305,316.4008186,0.862405669,1.46559642,0.682316077,0.926688578,1.232194534,0.692837771,1
1923611.406,5727.282198,335.8681029,0.933776948,1.696208743,0.58955008,0.898140043,1.164890165,0.685294088,1
340630.86,3217.235285,105.876888,0.69040243,2.484613903,0.40247702,0.97629063,1.555019701,0.517231806,1
669399.3673,3211.274131,208.4528882,0.966838471,1.644808821,0.607973393,0.856115223,1.107209491,0.673237945,1
898248.5731,4197.588672,213.9915659,0.915463746,2.26090855,0.442300066,0.932031448,1.249386127,0.575516413,1
298731.432,2367.78604,126.1648759,0.927610448,2.098487776,0.476533631,0.923243593,1.222072759,0.590029186,1
3040676.318,7958.606606,382.061392,0.858146295,2.138096134,0.467705817,0.942003286,1.287499326,0.609161242,1
2101312.706,5879.028018,357.4251899,0.921847253,1.733164231,0.576979367,0.885641171,1.144076999,0.699610841,1
77687.52793,1333.649479,58.25183388,0.897970655,2.745977057,0.364169102,0.95426231,1.349774182,0.536464647,1
704194.3813,3502.211095,201.0713695,0.943463106,1.695487049,0.589801025,0.904587632,1.177310751,0.639311009,1
5053328.184,9385.673121,538.4087129,0.972701279,2.003952541,0.499013814,0.904828529,1.177800517,0.614064726,1
1291044.601,4475.556698,288.4657011,0.954060319,1.340172484,0.74617261,0.859863385,1.111146975,0.796600543,1
249037.687,2217.465848,112.3073382,0.889859841,1.583798416,0.631393484,0.933220087,1.253485951,0.634356292,1
857554.344,3718.637114,230.6098492,0.958892326,1.482707587,0.674441818,0.877770622,1.132786441,0.729032458,1
2303661.789,6023.321812,382.4570329,0.945210421,1.236933426,0.808450947,0.86727196,1.119494014,0.735851606,1
757616.4634,4149.244062,182.5914437,0.910022786,3.167251713,0.315731142,0.953416138,1.344743171,0.536501346,1
2573313.986,6926.418476,371.5215872,0.94355575,2.01600566,0.496030353,0.92179843,1.218028372,0.577828939,1
3017230.002,7087.70283,425.6992815,0.928224947,1.307098509,0.765053279,0.890097525,1.151055752,0.579458423,1
498729.0229,2738.21175,182.1367624,0.969217471,1.287843596,0.776491806,0.841890589,1.093779493,0.704547528,1
17852239.02,20081.63625,888.9832879,0.77720437,1.316403667,0.759645408,0.952728763,1.340750037,0.444261544,1
31234784.9,23359.41278,1337.139131,0.932608861,1.713246956,0.583687014,0.905446042,1.17906495,0.621554971,1
2694800.362,7489.684004,359.8016098,0.880454489,2.220387462,0.450371846,0.941898404,1.287049542,0.592043285,1
174410.1187,1772.094984,98.42029925,0.90678066,1.637610514,0.610645811,0.913573287,1.19700572,0.644839367,1
602218.9516,3437.288517,175.2017466,0.910453733,2.431045935,0.41134558,0.932062845,1.249493053,0.645402137,1
700616.7335,3279.492714,213.6357036,0.944184589,1.076593454,0.928855731,0.854186344,1.105252448,0.793151781,1
3288551.266,7177.300801,458.1877446,0.946996318,1.450030978,0.689640439,0.864683037,1.116487609,0.68709896,1
275416.4395,2121.955548,129.7936895,0.934297901,1.609730787,0.621221889,0.883314431,1.140608017,0.7449918,1
734023.0766,4085.664187,179.6582007,0.852127623,1.887334606,0.529847753,0.95350231,1.345249623,0.552120272,1
126744.1057,1656.170919,76.52839702,0.89323665,2.491115466,0.401426595,0.947391078,1.312309694,0.553231146,1
127320.555,1879.163239,67.75385571,0.773664925,2.217976119,0.450861482,0.970886163,1.485628816,0.504204179,1
58056.64881,1264.875265,45.89910991,0.796625152,2.74765653,0.363946508,0.970457181,1.480869492,0.528281847,1
230811.979,2131.333216,108.2946473,0.857973582,1.588480057,0.629532612,0.93263682,1.251460795,0.695554643,1
58561.00679,931.0111525,62.90043533,0.961816686,1.208474191,0.827489745,0.831524728,1.085289707,0.824660023,1
3264865.377,13208.76114,247.1742311,0.516968106,2.767485845,0.361338795,0.992864429,2.062170241,0.364774638,1
357369.4555,2663.643844,134.1656304,0.890389935,2.266657086,0.441178335,0.934196175,1.256934097,0.605463667,1
549560.9652,3220.412754,170.6492326,0.894741684,1.258044155,0.79488466,0.924422648,1.225458665,0.667653077,1
1731877.361,5793.391881,298.9401367,0.867370656,1.434305793,0.697201395,0.929763461,1.241850758,0.72346241,1
467164.3121,3267.837843,142.9582294,0.825965383,1.73921406,0.574972353,0.954086256,1.348716705,0.574381928,1
314289.7549,2512.518045,125.0895513,0.86579782,1.920313636,0.520748268,0.936203595,1.264268,0.615691166,1
2319343.521,6501.619273,356.7332111,0.898267774,1.411919415,0.708255719,0.916570694,1.204298273,0.650198523,1
4593282.611,9517.088317,482.6352828,0.857494208,1.424252086,0.702122896,0.932986738,1.252672617,0.657840556,1
795927.3274,3389.788759,234.8014534,0.97198211,1.25097487,0.799376569,0.812260222,1.071842554,0.855752108,1
937737.9229,4086.136858,229.4925392,0.946791568,1.779569734,0.561933585,0.910680796,1.190329609,0.676637044,1
333551.5094,2311.455484,144.30367,0.954574012,1.089596973,0.917770538,0.874937146,1.129013531,0.780833262,1
720327.3637,3341.250187,215.5861798,0.948780764,1.178320192,0.848665759,0.85930851,1.110552535,0.789200138,1
